job_title,company_name,location,ctc,experience,posted
Business Development Executive,Plada Infotech Services Limited,"Bangalore, Hyderabad, Kolkata, Mumbai, Chennai, Delhi, Chandigarh, Gurgaon, Jaipur","₹ 2,20,000 - 4,20,000",0-2 years,3 weeks ago
HR Analyst,Mazars LLP,Gurgaon,"₹ 2,00,000 - 4,00,000",0-2 years,3 weeks ago
Business Development Associate,Planet Spark,Gurgaon,"₹ 3,00,000 - 7,00,000",0-5 years,3 weeks ago
US Olympics Junior Writer,Sportskeeda,Work from home,"₹ 2,00,000",0-2 years,3 weeks ago
Non IT Recruiter,Spinny - Valuedrive Technologies Private Limited,Gurgaon,"₹ 2,00,000 - 2,80,000",0-2 years,3 weeks ago
Corporate Sales Executive,NoBroker Technologies Solutions Private Limited,"Hubli, Bangalore, Davangere","₹ 2,20,000 - 3,00,000",0-2 years,3 weeks ago
Business Development Associate,Planet Spark,Gurgaon,"₹ 5,00,000 - 7,00,000",0-5 years,3 weeks ago
Assistant Manager Sales,Planet Spark,Gurgaon,"₹ 9,00,000 - 10,00,000",0-5 years,3 weeks ago
Audit Associate,Writer Safeguard Private Limited,Jaipur,"₹ 2,00,000 - 2,50,000",0-2 years,3 weeks ago
Apprentice - HR,Zydus Lifescience,Ahmedabad,"₹ 2,40,000",0-2 years,3 weeks ago
Corporate Sales Executive,NIIT Foundation,Delhi,"₹ 3,00,000 - 3,60,000",0-2 years,3 weeks ago
Business Development Executive,BYJU'S The Learning App,"Mumbai, Chandigarh, Delhi","₹ 2,00,000 - 2,70,000",0-2 years,3 weeks ago
Recruiter,ASMACS Skill Development Limited,Mira Bhayandar,"₹ 2,00,000",0-2 years,3 weeks ago
Field Sales Associate,PolicyBazaar.com,"Gurgaon, Delhi","₹ 2,50,000 - 4,00,000",0-2 years,3 weeks ago
Content Marketing Executive,Bridging GAPS,"Mohali, Panchkula, Chandigarh","₹ 4,00,000 - 4,50,000",0-2 years,3 weeks ago
